Hospital,Patient Count,Total Billing
Ramirez-Robinson,3,96739.00128614204
"Foster Lamb, Graham and",1,10659.608812944593
LLC Massey,2,71446.9940966842
Coleman-Aguilar,1,34961.90671326528
Group Stein,2,25094.95572621151
Smith PLC,36,1029424.4491163138
Alvarado-Martin,1,1077.1696809399066
Hall Group,8,247201.21558231176
"and Mayo Chen, Murray",1,49400.214028011644
Lopez-Wilson,2,56481.55593873338
Harris-Farrell,1,32166.967383439547
Dawson-Williams,2,9616.626025733382
"Holmes Reed and Johnson,",1,9492.225487246009
"and Lee Rodriguez Morris,",1,18047.5510046168
"Watkins, and Young Perry",1,41838.22082511615
Nunez-Hamilton,1,40446.09173896364
Freeman-Hunter,1,29414.68600622586
and Aguilar Sons,3,92686.82176385348
Reeves-Edwards,1,21847.12682622056
Williams-Russell,1,12447.792836846635
Pierce-King,1,13486.013185972342
Morgan-Elliott,2,63904.897631715095
"Castro and Smith, Brown",1,22021.197078277015
"and Palmer Castro, Cabrera",1,19905.414373307838
Group Edwards,5,142763.55528154678
Benton-Reyes,1,46854.33897457741
"Huffman Lozano, and Mckenzie",2,74030.37447073114
Ortega-Williamson,1,4783.346399270986
Sanchez-Cook,1,6691.912682535657
Obrien PLC,6,85047.10377450011
Meyer-Scott,1,47642.24186119938
Mitchell-Hicks,1,45644.74699046579
Thomas-Ballard,2,31309.66117326577
Arnold-Johnson,2,71514.58140207967
"Smith, Parks Garrett and",1,12549.83158731962
"Branch, Pennington Vega and",1,12498.902794157222
Baker-Simon,1,6723.191071533574
Caldwell-Swanson,1,16655.049095004768
Inc Diaz,5,53590.06262137911
Hensley-Sanchez,1,47053.91573979093
"Riddle Foley and Reese,",1,50016.861087065095
"and Chambers, Lopez Sloan",2,51340.61238852969
"Rogers, Wiley and Ortiz",2,81440.8993154909
Olson-Key,1,38999.55057168173
White-Mathis,1,267.15199701548204
Green-Marshall,1,37596.376132201396
"Blackwell Martinez, and Solomon",1,30898.651639794058
"Knox, and Martin Robbins",1,33012.35851486273
"Cruz Grimes King, and",2,57762.644834004044
Sanchez-Li,1,27954.955656587394
"Newman Bowers and Winters,",1,43681.441937410746
"Nelson and Moore Stone,",1,48069.172331420334
Jackson-Roy,1,9806.492857446325
"and Bailey Ramos, Webster",1,42095.5475476909
"Anderson and Farley, George",2,34544.24471084036
"and Gibson Jones Gomez,",1,7635.061147598188
Holmes-Griffin,1,28907.665530978535
Melendez-Lewis,1,40116.89979202447
Soto PLC,1,49317.38500797137
"Johnson, Baldwin and Cole",2,3977.0623710669474
Thomas-Allen,1,32137.52161910586
"Campbell Ruiz, and Duke",1,43172.58997024306
"Douglas, Walter and Parsons",1,40260.05379178295
Anderson-Perez,1,25601.441442636704
May-Chambers,1,21641.00809273835
Hernandez-Smith,5,81778.17852512981
"Greer Reilly, and Smith",1,41606.00737401872
"Turner, and Wright Alexander",1,49102.048449773385
"Parks Conner, and King",1,38980.29230333072
Johnson-Holt,1,44666.22857219595
Group Lutz,1,50466.77326408254
Group Park,2,52221.107941460694
"and Landry Trujillo, Neal",1,12940.330035214547
Montoya-Smith,1,35778.49859527841
"Martinez, Goodwin and Eaton",1,40452.68180343823
"Robinson and Hunt Marquez,",1,30298.843061699987
Mills Ltd,2,57276.84152939514
Cantrell LLC,2,36134.1034895925
"Freeman and Brown, Haney",1,19393.151607832595
Myers-Williams,1,16127.994531686658
LLC Rivas,2,60910.75787228502
"and Washington Hernandez, King",2,16112.162621227826
Morris-Brady,1,20291.35934434915
Calderon LLC,1,42140.21735537132
"and Watts Terry, Fields",1,15212.258641112165
and Sons Vazquez,2,25750.70662151981
"Garcia Bond, Rivera and",2,70558.37562944685
Stewart-Howard,1,40443.54567751083
Bullock-Chase,1,23272.037035163878
"Pineda Werner, Mcclure and",1,32589.63392848543
Newman-Scott,2,95751.47664850761
"and Olson Decker Blair,",1,11878.430816145914
Fox-Garcia,1,42241.48982873957
Kennedy-Price,1,34379.880005306026
"Chapman Wiggins, Byrd and",1,6626.5520437175965
Dixon-Jenkins,1,10513.192365805622
Odom-Torres,1,7511.049334893299
Sons and Cooper,2,58420.2785043692
"and Clark Preston, Mcdonald",1,11213.59278795211
Sutton-Morse,1,32552.832441220547
"Brown, and Weaver Mays",1,39865.34992045667
Foster-Whitaker,1,31982.285206948156
"Holland and Solomon Stuart,",1,46667.131434465475
Davis-Moore,3,89326.92274791327
Mcknight-Padilla,1,34447.11339481453
Davis-Watts,1,49361.09666385883
"Arnold Bishop and Ray,",1,7092.3761596858985
Cardenas-Dixon,1,21424.91340534916
Collins-White,2,51568.41009015452
Lewis-Thomas,2,81926.26213969069
"Long Riley, and Santiago",1,26670.76925846874
"Greene Ross, Torres and",1,3568.929354604834
Peterson-Young,1,39054.533717192964
"Ortega Howe, Torres and",1,5751.64759200112
Buckley LLC,1,36121.52650040485
"and Cooper Miller, Moreno",1,44802.80676430276
Todd LLC,1,9550.327184898728
Bentley-Smith,1,7738.085240934717
Roberson LLC,1,23922.59660441632
Aguilar-Bass,1,14896.97500213013
"and Dorsey Brady Richards,",2,41793.04468582959
Johns-Evans,1,39674.23992427462
"Caldwell Zamora and Powell,",1,9001.282586643314
Holmes LLC,1,23134.580183677554
"Long Garcia Brown, and",1,37285.407416139664
"and Hunter Brown Kelly,",1,20424.259009535483
"Farrell Lyons Kent, and",2,67237.78873250946
Carey-Brown,1,17097.371927693475
"White Williams and Frye,",2,12016.612230245026
and Fernandez Sons,1,7410.965063394201
Cole-Blake,1,2263.690941448457
"and Stanley Schneider, Webster",1,22623.957522667082
"Roberts and Orr, Garcia",2,62294.652369927186
Murphy-Dunlap,1,10118.773806719288
Norton-Nelson,1,13625.052214539843
"Arnold Steele, Maldonado and",1,4780.496413927691
"and Sparks Perkins, Smith",1,20037.263053942082
"Lyons Jacobs Hall, and",1,26190.294052027693
Boone PLC,1,46939.959692133525
Franco-Sawyer,1,22365.67633001405
Harmon-Brock,1,10962.515206141505
"Bond, and Lopez Poole",1,29867.309660909334
LLC Love,1,12865.945175304867
"Mendez, Mitchell and Bradley",1,27875.163032405933
PLC Weaver,4,98127.56432646344
"Smith Ross, Young and",1,5186.410349206017
Cox LLC,1,8118.486768304916
"Turner, Collins Bean and",1,11224.780641743217
PLC Browning,2,27191.235288997206
Johnson-Kelley,1,44337.64695421342
Smith-Blake,1,26837.020648459173
"York Miller, and Kelley",1,14330.092262966029
"Stewart, and Williams Sanchez",2,93196.35698286902
Stevens-Gomez,1,34758.06024271034
Mclaughlin-Sanford,1,21709.973948836654
"Davis, Reed Young and",1,13430.292173016689
Ford-Cox,1,26544.018174056764
Kelly-Craig,1,11880.552404744432
White-Ray,1,7722.149113451599
Carney-Sampson,1,2787.811295842778
Group Benson,1,31241.294191036846
Group Page,2,31008.439061819983
"Vaughn and Smith Fritz,",1,6650.496195942747
"Ramos, Hudson Chavez and",2,23935.60014867181
"and Castro Davis Carter,",1,49417.40874822305
"Hamilton and Lee, Russell",2,10197.071848353095
Group Rowland,1,47386.50094578806
PLC Mcmahon,1,41133.558348650375
Graves-Buchanan,1,40399.657826880124
"Guerrero Miller and Benitez,",1,31019.465207218076
Stuart-Mooney,1,31160.96193526147
Wilson-Bennett,3,96198.31922134051
"Lam Anderson, Olson and",1,41265.411682177924
"Singleton Perry Shelton, and",1,43973.40799150363
Chen-Poole,1,37702.0507433994
"Rogers, Flores and Horton",1,3187.6198962730923
Reynolds-Ballard,1,29065.9321837786
Group Hurst,2,65815.62319021381
Whitney-Henderson,1,11479.444749076218
Baker-Jones,2,80380.40583603516
Fox-Anthony,1,8407.48879202866
"Wilson and Lopez, Molina",1,35487.51240836809
"and Camacho Thomas Malone,",1,40367.63417343173
Young-Myers,1,17002.30327071432
PLC Kelly,5,103675.15055984152
Caldwell Group,3,58952.555982694495
"and Neal Vargas, Welch",1,40786.35447534098
Terry Ltd,2,36898.954446241594
and Sons Holmes,3,41214.5613461558
Medina-Campos,1,46605.0527576414
"Jones, Walker Moore and",1,37957.26659971875
Larsen-Vega,1,15526.457763307058
Jones-Holden,1,13893.526669948384
Kelly-Smith,1,31003.88609618534
"Woods and Myers, Smith",1,25706.745498841137
Gonzalez-Tucker,1,24098.161851268353
Romero-Sanchez,1,41535.515164082
Ball-Miller,2,81749.41496278164
"White, Decker Freeman and",1,41786.91173269404
Group Wright,8,194399.93902769548
"Hicks, Yates Morris and",1,32162.288032427055
Patel-Kim,2,30968.36576441959
"Sanchez, and Cline Hernandez",1,21715.540776301525
"Cisneros Short, and Taylor",1,729.7540577086306
Clark-Griffin,1,10715.168426649241
"Costa Delgado, Sanchez and",1,46008.87021676567
Roberts-Morrison,1,25040.0566258134
Ellis-Noble,1,30873.93132699114
Gonzales-Ramirez,1,44275.201362705164
Ray-Michael,1,11568.799712032958
PLC Martin,7,162054.5466204758
Williams-Duran,1,19520.02266915396
Vazquez-Smith,1,2495.739151982556
Booth-Davidson,1,24176.685425631815
"and Hatfield Cobb Clark,",1,5355.412939292033
"and Williams, Young Maddox",1,18842.43963797928
Kim and Sons,1,29977.91244644715
Inc Nunez,3,95572.48998647436
"and Lewis Fischer, Harrell",1,4748.537990700985
"Bates, Jarvis and Moore",1,24415.593894648293
Rodriguez-Decker,1,20234.278153842693
Sanchez Inc,8,228994.42802415096
"Wolf Lewis, and Griffin",1,14656.709132765656
Jordan-Gutierrez,2,45955.6937011646
"Miller Jackson, and Brown",2,41040.5377501206
Medina-Bailey,1,20393.49218063389
"Stafford Cardenas, Lopez and",2,48522.251884257545
PLC Myers,4,150210.29672194735
"Jimenez, and Soto Johnson",1,40714.63344800458
"Tran Mcdonald and Anderson,",1,37086.17103404434
Sons and Young,2,18309.359378788573
"and Valentine, Benitez Carey",1,14814.141462213463
Lloyd-Martin,1,16836.34600169558
"Morris, Roberts and Castillo",1,18496.192255923383
and Sons Walker,3,109326.00250591856
Harris-Martinez,1,40357.23737184726
"Smith, Thompson Gregory and",1,41749.02027870521
"Hall Reed and Kaiser,",1,48796.76076987105
Doyle-Clark,1,30049.384617215495
"and Kelley, Paul Sullivan",1,28509.15947886624
Kane-Steele,1,42436.55236019219
"Snyder, and Keller Page",1,25157.36733893108
Fields-Clements,1,14190.41483907543
LLC Cook,3,108953.43656287965
Group Mclean,1,15379.54925865787
Calhoun-Romero,1,3942.762208005527
Evans PLC,4,117403.05680200922
Chen-Castillo,2,13570.47016253725
"Lucero and Adams Meza,",1,5019.071610365331
Rhodes Sons and,1,14852.51330615889
Ramirez-Williams,1,49519.753718078886
Burnett-Young,1,13463.428210877533
"and Ortiz Jordan Thomas,",1,5274.130756173892
"Williams, Jones and Mccall",1,8413.518046748442
Matthews-Burns,1,13935.426563532372
Ray-Gill,1,9025.632113480731
Jackson-Whitney,1,30077.203365695674
"and Ford, Porter Harris",1,27216.83087434335
Maynard-Newman,1,31317.646723612736
"and Sullivan Welch, Johnson",1,17204.73713716457
"Lawson and Barnes, Wright",2,76496.78723125611
"Lopez and Mcfarland Webb,",1,31011.74744098476
Stevens-Valencia,1,22082.42953576806
Ramirez-Noble,1,29140.4414943131
Richardson-Juarez,1,22120.865185147046
"Anderson and Fletcher, Brown",1,14891.710111994385
Gomez-Khan,1,6152.761704776301
Ltd Hess,2,41911.48989100639
Huber-Gray,1,37408.32359144226
"and Black, Meza Leach",1,35092.00859035275
"Boone Simpson Le, and",1,13832.376697340318
Murray-Powell,1,20353.452004902247
George-Parrish,1,24674.470406115637
Inc Moyer,1,13316.807754833215
"and Patton Ramirez, Blair",1,17759.66313069614
"Martin Davidson, and Olson",1,42817.363417602486
"and Lynch Fernandez Curtis,",2,44573.345620957916
"Flores Barnett Greene, and",1,15245.157331920014
PLC Haynes,1,4042.5722538931873
Stuart Group,1,41097.69149782237
"and Rodriguez Ibarra Carroll,",1,19694.052979355572
"and Lewis Walker, Butler",1,28422.14082091712
Miller-Jackson,2,79449.62183644621
Powell-Cruz,1,7360.344543546226
"King and Manning, Barron",1,43275.6064438797
"Miller Burns Miller, and",1,34707.00176528086
"Adams Navarro, Gomez and",1,44461.76534600743
Cox-Herman,1,43058.11791042807
Willis-Griffin,1,39633.7317878668
"and Sanchez Hansen Black,",1,18470.97774832356
"Kelly and Mcgee Baldwin,",1,44832.315462288054
"and Patrick, Solis Jones",1,24148.329798554663
Frost-Davis,1,35022.92872351674
Hall-Schneider,1,10524.83529074728
Stein-Dennis,2,22047.900438241857
Burgess-Dudley,2,27942.791893294398
LLC Serrano,1,22343.7856841074
"Bullock and Ward Kim,",2,79911.86721388233
Skinner-Lee,1,21773.990832129242
Group Reyes,4,67985.88116736812
Inc Love,1,31148.105770473012
PLC Vasquez,1,48552.817720504514
Fitzgerald-Whitaker,1,11539.114887579522
"and Campbell Sherman, Torres",1,4532.61775179043
Abbott-Hill,1,13260.139775444235
Mendez LLC,1,48285.60882390758
Schroeder Ltd,3,82507.30863586205
Rose-Salinas,1,46104.73873827059
"and Leblanc Soto, King",2,13488.666008210226
Turner-Arroyo,1,14900.37610994671
"Butler Barnes and Fox,",1,17955.436700910483
Deleon-Hall,1,23919.272637078255
Kelly-Griffith,1,936.7624629893763
White-Carey,1,22496.905266888527
"Joyce Brady, and Hodges",1,39008.26698572369
