Hospital,Patient Count,Total Billing
Ramirez-Robinson,2,66777.22991090124
"Foster Lamb, Graham and",1,10659.608812944593
LLC Massey,1,29003.535347504865
Coleman-Aguilar,1,34961.90671326528
Group Stein,2,25094.95572621151
Smith PLC,20,572553.6485168219
Alvarado-Martin,1,1077.1696809399066
Hall Group,6,185907.22355079793
"and Mayo Chen, Murray",1,49400.214028011644
Lopez-Wilson,1,19564.11447822695
Harris-Farrell,1,32166.967383439547
Dawson-Williams,1,4808.313012866691
"Holmes Reed and Johnson,",1,9492.225487246009
"and Lee Rodriguez Morris,",1,18047.5510046168
"Watkins, and Young Perry",1,41838.22082511615
Nunez-Hamilton,1,40446.09173896364
Freeman-Hunter,1,29414.68600622586
and Aguilar Sons,1,23550.15857612006
Reeves-Edwards,1,21847.12682622056
Williams-Russell,1,12447.792836846635
Pierce-King,1,13486.013185972342
Morgan-Elliott,1,31952.448815857548
"Castro and Smith, Brown",1,22021.197078277015
"and Palmer Castro, Cabrera",1,19905.414373307838
Group Edwards,4,119125.75258882642
Benton-Reyes,1,46854.33897457741
"Huffman Lozano, and Mckenzie",1,37015.18723536557
Ortega-Williamson,1,4783.346399270986
Sanchez-Cook,1,6691.912682535657
Obrien PLC,2,44990.775929963726
Meyer-Scott,1,47642.24186119938
Mitchell-Hicks,1,45644.74699046579
Thomas-Ballard,1,15654.830586632885
Arnold-Johnson,1,41188.210689484236
"Smith, Parks Garrett and",1,12549.83158731962
"Branch, Pennington Vega and",1,12498.902794157222
Baker-Simon,1,6723.191071533574
Caldwell-Swanson,1,16655.049095004768
Inc Diaz,2,15124.070815757495
Hensley-Sanchez,1,47053.91573979093
"Riddle Foley and Reese,",1,50016.861087065095
"and Chambers, Lopez Sloan",1,25670.306194264846
"Rogers, Wiley and Ortiz",1,40720.44965774545
Olson-Key,1,38999.55057168173
White-Mathis,1,267.15199701548204
Green-Marshall,1,37596.376132201396
"Blackwell Martinez, and Solomon",1,30898.651639794058
"Knox, and Martin Robbins",1,33012.35851486273
"Cruz Grimes King, and",1,28881.322417002022
Sanchez-Li,1,27954.955656587394
"Newman Bowers and Winters,",1,43681.441937410746
"Nelson and Moore Stone,",1,48069.172331420334
Jackson-Roy,1,9806.492857446325
"and Bailey Ramos, Webster",1,42095.5475476909
"Anderson and Farley, George",1,17272.12235542018
"and Gibson Jones Gomez,",1,7635.061147598188
Holmes-Griffin,1,28907.665530978535
Melendez-Lewis,1,40116.89979202447
Soto PLC,1,49317.38500797137
"Johnson, Baldwin and Cole",1,1988.5311855334737
Thomas-Allen,1,32137.52161910586
"Campbell Ruiz, and Duke",1,43172.58997024306
"Douglas, Walter and Parsons",1,40260.05379178295
Anderson-Perez,1,25601.441442636704
May-Chambers,1,21641.00809273835
Hernandez-Smith,3,55988.56277597512
"Greer Reilly, and Smith",1,41606.00737401872
"Turner, and Wright Alexander",1,49102.048449773385
"Parks Conner, and King",1,38980.29230333072
Johnson-Holt,1,44666.22857219595
Group Lutz,1,50466.77326408254
Group Park,2,52221.107941460694
"and Landry Trujillo, Neal",1,12940.330035214547
Montoya-Smith,1,35778.49859527841
"Martinez, Goodwin and Eaton",1,40452.68180343823
"Robinson and Hunt Marquez,",1,30298.843061699987
Mills Ltd,1,11997.37991126259
Cantrell LLC,1,11963.577037458957
"Freeman and Brown, Haney",1,19393.151607832595
Myers-Williams,1,16127.994531686658
LLC Rivas,2,60910.75787228502
"and Washington Hernandez, King",1,8056.081310613913
Morris-Brady,1,20291.35934434915
Calderon LLC,1,42140.21735537132
"and Watts Terry, Fields",1,15212.258641112165
and Sons Vazquez,1,12875.353310759905
"Garcia Bond, Rivera and",1,35279.187814723424
Stewart-Howard,1,40443.54567751083
Bullock-Chase,1,23272.037035163878
"Pineda Werner, Mcclure and",1,32589.63392848543
Newman-Scott,1,47875.738324253805
"and Olson Decker Blair,",1,11878.430816145914
Fox-Garcia,1,42241.48982873957
Kennedy-Price,1,34379.880005306026
"Chapman Wiggins, Byrd and",1,6626.5520437175965
Dixon-Jenkins,1,10513.192365805622
Odom-Torres,1,7511.049334893299
Sons and Cooper,2,58420.2785043692
"and Clark Preston, Mcdonald",1,11213.59278795211
Sutton-Morse,1,32552.832441220547
"Brown, and Weaver Mays",1,39865.34992045667
Foster-Whitaker,1,31982.285206948156
"Holland and Solomon Stuart,",1,46667.131434465475
Davis-Moore,1,38745.61466403879
Mcknight-Padilla,1,34447.11339481453
Davis-Watts,1,49361.09666385883
"Arnold Bishop and Ray,",1,7092.3761596858985
Cardenas-Dixon,1,21424.91340534916
Collins-White,1,25784.20504507726
Lewis-Thomas,1,35896.811455185816
"Long Riley, and Santiago",1,26670.76925846874
"Greene Ross, Torres and",1,3568.929354604834
Peterson-Young,1,39054.533717192964
"Ortega Howe, Torres and",1,5751.64759200112
Buckley LLC,1,36121.52650040485
"and Cooper Miller, Moreno",1,44802.80676430276
Todd LLC,1,9550.327184898728
Bentley-Smith,1,7738.085240934717
Roberson LLC,1,23922.59660441632
Aguilar-Bass,1,14896.97500213013
"and Dorsey Brady Richards,",1,20896.522342914795
Johns-Evans,1,39674.23992427462
"Caldwell Zamora and Powell,",1,9001.282586643314
Holmes LLC,1,23134.580183677554
"Long Garcia Brown, and",1,37285.407416139664
"and Hunter Brown Kelly,",1,20424.259009535483
"Farrell Lyons Kent, and",1,33618.89436625473
Carey-Brown,1,17097.371927693475
"White Williams and Frye,",1,6008.306115122513
and Fernandez Sons,1,7410.965063394201
Cole-Blake,1,2263.690941448457
Reynolds-Ballard,1,29065.9321837786
Baker-Jones,1,40190.20291801758
Fox-Anthony,1,8407.48879202866
"Wilson and Lopez, Molina",1,35487.51240836809
"and Camacho Thomas Malone,",1,40367.63417343173
Young-Myers,1,17002.30327071432
PLC Kelly,1,5778.245819492447
Caldwell Group,2,38646.6079601243
"and Neal Vargas, Welch",1,40786.35447534098
Terry Ltd,2,36898.954446241594
and Sons Holmes,1,18387.26695551107
Medina-Campos,1,46605.0527576414
"Jones, Walker Moore and",1,37957.26659971875
Larsen-Vega,1,15526.457763307058
Jones-Holden,1,13893.526669948384
Kelly-Smith,1,31003.88609618534
"Woods and Myers, Smith",1,25706.745498841137
Gonzalez-Tucker,1,24098.161851268353
Romero-Sanchez,1,41535.515164082
Ball-Miller,1,44663.03268932212
"White, Decker Freeman and",1,41786.91173269404
Group Wright,6,165498.31293985408
"Hicks, Yates Morris and",1,32162.288032427055
Patel-Kim,1,14604.10085666085
"Sanchez, and Cline Hernandez",1,21715.540776301525
"Cisneros Short, and Taylor",1,729.7540577086306
Clark-Griffin,1,10715.168426649241
"Costa Delgado, Sanchez and",1,46008.87021676567
Roberts-Morrison,1,25040.0566258134
Ellis-Noble,1,30873.93132699114
Gonzales-Ramirez,1,44275.201362705164
Ray-Michael,1,11568.799712032958
PLC Martin,4,107971.92269017315
Williams-Duran,1,19520.02266915396
Vazquez-Smith,1,2495.739151982556
Booth-Davidson,1,24176.685425631815
"and Hatfield Cobb Clark,",1,5355.412939292033
"and Williams, Young Maddox",1,18842.43963797928
Kim and Sons,1,29977.91244644715
Inc Nunez,2,50070.38750610476
"and Lewis Fischer, Harrell",1,4748.537990700985
"Bates, Jarvis and Moore",1,24415.593894648293
Rodriguez-Decker,1,20234.278153842693
Sanchez Inc,5,160352.07770357153
"Wolf Lewis, and Griffin",1,14656.709132765656
Jordan-Gutierrez,1,30300.107368234385
"Miller Jackson, and Brown",1,20520.2688750603
Medina-Bailey,1,20393.49218063389
"Stafford Cardenas, Lopez and",1,24261.125942128772
PLC Myers,1,41406.13185537442
"Jimenez, and Soto Johnson",1,40714.63344800458
"Tran Mcdonald and Anderson,",1,37086.17103404434
Sons and Young,2,18309.359378788573
"and Valentine, Benitez Carey",1,14814.141462213463
Lloyd-Martin,1,16836.34600169558
"Morris, Roberts and Castillo",1,18496.192255923383
and Sons Walker,3,109326.00250591856
Harris-Martinez,1,40357.23737184726
"Smith, Thompson Gregory and",1,41749.02027870521
"Hall Reed and Kaiser,",1,48796.76076987105
Doyle-Clark,1,30049.384617215495
"and Kelley, Paul Sullivan",1,28509.15947886624
Kane-Steele,1,42436.55236019219
"Snyder, and Keller Page",1,25157.36733893108
Fields-Clements,1,14190.41483907543
LLC Cook,3,108953.43656287965
Group Mclean,1,15379.54925865787
Calhoun-Romero,1,3942.762208005527
Evans PLC,3,107681.23911757444
Chen-Castillo,1,6785.235081268625
"Lucero and Adams Meza,",1,5019.071610365331
Rhodes Sons and,1,14852.51330615889
Ramirez-Williams,1,49519.753718078886
Burnett-Young,1,13463.428210877533
"and Ortiz Jordan Thomas,",1,5274.130756173892
"Williams, Jones and Mccall",1,8413.518046748442
Matthews-Burns,1,13935.426563532372
Ray-Gill,1,9025.632113480731
Jackson-Whitney,1,30077.203365695674
"and Ford, Porter Harris",1,27216.83087434335
Maynard-Newman,1,31317.646723612736
"and Sullivan Welch, Johnson",1,17204.73713716457
"Lawson and Barnes, Wright",1,38248.393615628054
"Lopez and Mcfarland Webb,",1,31011.74744098476
Stevens-Valencia,1,22082.42953576806
Ramirez-Noble,1,29140.4414943131
Richardson-Juarez,1,22120.865185147046
"Anderson and Fletcher, Brown",1,14891.710111994385
Gomez-Khan,1,6152.761704776301
Ltd Hess,1,30013.636976290156
Huber-Gray,1,37408.32359144226
"and Black, Meza Leach",1,35092.00859035275
"Boone Simpson Le, and",1,13832.376697340318
Murray-Powell,1,20353.452004902247
George-Parrish,1,24674.470406115637
Inc Moyer,1,13316.807754833215
"and Patton Ramirez, Blair",1,17759.66313069614
"Martin Davidson, and Olson",1,42817.363417602486
"and Lynch Fernandez Curtis,",1,22286.672810478958
"Flores Barnett Greene, and",1,15245.157331920014
PLC Haynes,1,4042.5722538931873
Stuart Group,1,41097.69149782237
"and Rodriguez Ibarra Carroll,",1,19694.052979355572
"and Lewis Walker, Butler",1,28422.14082091712
Miller-Jackson,1,39724.810918223106
Powell-Cruz,1,7360.344543546226
"King and Manning, Barron",1,43275.6064438797
"Miller Burns Miller, and",1,34707.00176528086
"Adams Navarro, Gomez and",1,44461.76534600743
Cox-Herman,1,43058.11791042807
Willis-Griffin,1,39633.7317878668
"and Sanchez Hansen Black,",1,18470.97774832356
"Carpenter Richard and Nunez,",1,49202.41968455474
"and Johnson Moore, Branch",1,-502.50781270094785
"Baker, Weber Patton and",1,51587.93681650202
Duran Sons and,1,5811.629851037733
"and Thompson Burke, Harrington",1,3516.8478500906785
"Lopez Keller, Williams and",1,7383.383359204997
"Thomas and Nguyen, King",1,26036.67355909808
Wong-Booth,1,49121.41107450952
Hunt Inc,1,1790.315234891964
"Jones Lopez, and Ali",1,30133.235414131064
Adams-Bass,1,27850.552749878643
Hampton-Collins,1,5655.413059826667
Garcia-Warren,1,15263.689897475884
Carter-Johnson,1,10381.479358717417
Villegas-Mccoy,1,7693.30590880111
Jenkins-James,1,31813.983704446142
"and Williams Rodriguez Johnson,",1,34968.70909728112
Calderon-Rodriguez,1,19954.13004007728
Harris-Dominguez,1,25962.975198953525
"Hernandez Wong Allen, and",1,35335.1803033744
"and Harris Ortega Macias,",1,29662.44419134108
Ruiz-Wilson,1,25822.469251378414
Inc Freeman,3,59542.01148545476
Reynolds LLC,3,50714.95065472921
"and Lopez, Archer Miller",1,8284.60358569853
"Glass Johnson and Perez,",1,25979.016342887222
"Barnes Kennedy Thomas, and",1,14495.671202508845
LLC Boyer,2,94916.29479867849
Porter-Morris,1,10807.49374733658
"Skinner, Rice Donovan and",1,45842.06860695339
"and Mcguire Smith, Smith",1,48635.486633347115
"Daugherty and Mclean, Parsons",1,26522.975766385778
Sanders-Boyle,1,49794.263092498244
Thomas Sons and,2,46490.45958882847
Moore-Bowen,1,18139.25477703869
"Garcia Morales and Pope,",1,25049.6307079768
Sons Fox and,1,31159.04743651207
Ford PLC,2,63324.786691447094
